workload_name,trial_id,victim_phase_ns,schedule_seed
sparse_periodic,0,294.8997467513351,1375469193
sparse_periodic,1,225.2075710032837,3096685412
sparse_periodic,2,226.30456347554204,1496968456
sparse_periodic,3,175.66758319831047,1968616755
sparse_periodic,4,137.8351814663259,762700380
sparse_periodic,5,354.5434195870423,2074332496
sparse_periodic,6,275.18265237477755,153923493
sparse_periodic,7,143.65343836002765,2561477502
sparse_periodic,8,229.4847174271353,3596585616
sparse_periodic,9,213.87265558409018,3186489235
dense_periodic,0,189.01798986006781,2582161981
dense_periodic,1,252.5822100171158,3363418862
dense_periodic,2,206.3462637260963,1654804893
dense_periodic,3,167.37895530928833,1380524665
dense_periodic,4,238.45829434192189,3791700764
dense_periodic,5,348.9827040539435,2369704587
dense_periodic,6,252.8597619547655,2295281129
dense_periodic,7,348.03422310110983,617908442
dense_periodic,8,241.5697816509276,2589254806
dense_periodic,9,287.17299995658146,755317833
synchronization_bursty,0,167.65894454905157,1234602575
synchronization_bursty,1,315.1135655418109,1232553529
synchronization_bursty,2,186.15050479473797,2075533149
synchronization_bursty,3,218.33769256195828,1940970379
synchronization_bursty,4,399.22524591333826,4188645110
synchronization_bursty,5,142.27634029769197,417241144
synchronization_bursty,6,158.01763693353732,2727116792
synchronization_bursty,7,228.28194283503333,4238917232
synchronization_bursty,8,393.0253637702581,529579629
synchronization_bursty,9,159.0991025618656,2045788139
