step,op_name,qubits,modules_touched,is_cross_module,params
0,rz,0,module_0,False,[1.5707963267948966]
1,sx,0,module_0,False,[]
2,rz,0,module_0,False,[3.141592653589793]
3,rz,1,module_0,False,[1.5707963267948966]
4,sx,1,module_0,False,[]
5,rz,1,module_0,False,[3.141592653589793]
6,rz,2,module_0,False,[1.5707963267948966]
7,sx,2,module_0,False,[]
8,rz,2,module_0,False,[1.5707963267948966]
9,cx,"0,2",module_0,False,[]
10,rz,2,module_0,False,[4.993530418315624]
11,cx,"0,2",module_0,False,[]
12,rz,3,module_1,False,[1.5707963267948966]
13,sx,3,module_1,False,[]
14,rz,3,module_1,False,[1.5707963267948966]
15,cx,"2,3","module_0,module_1",True,[]
16,rz,3,module_1,False,[4.993530418315624]
17,cx,"2,3","module_0,module_1",True,[]
18,rz,2,module_0,False,[1.5707963267948966]
19,sx,2,module_0,False,[]
20,rz,2,module_0,False,[-6.9278240909291195]
21,sx,2,module_0,False,[]
22,rz,2,module_0,False,[7.853981633974483]
23,rz,4,module_1,False,[1.5707963267948966]
24,sx,4,module_1,False,[]
25,rz,4,module_1,False,[3.141592653589793]
26,rz,5,module_1,False,[1.5707963267948966]
27,sx,5,module_1,False,[]
28,rz,5,module_1,False,[1.5707963267948966]
29,cx,"1,5","module_0,module_1",True,[]
30,rz,5,module_1,False,[4.993530418315624]
31,cx,"1,5","module_0,module_1",True,[]
32,cx,"4,5",module_1,False,[]
33,rz,5,module_1,False,[4.993530418315624]
34,cx,"4,5",module_1,False,[]
35,rz,5,module_1,False,[1.5707963267948966]
36,sx,5,module_1,False,[]
37,rz,5,module_1,False,[-6.9278240909291195]
38,sx,5,module_1,False,[]
39,rz,5,module_1,False,[7.853981633974483]
40,rz,6,module_2,False,[1.5707963267948966]
41,sx,6,module_2,False,[]
42,rz,6,module_2,False,[1.5707963267948966]
43,cx,"0,6","module_0,module_2",True,[]
44,rz,6,module_2,False,[4.993530418315624]
45,cx,"0,6","module_0,module_2",True,[]
46,sx,0,module_0,False,[]
