graph_instance_id,edge_count,graph_edges,split
graph_0000,2,module_2--module_4|module_3--module_4,train
graph_0003,2,module_1--module_4|module_3--module_4,test
graph_0006,2,module_1--module_2|module_1--module_3,test
graph_0009,2,module_1--module_3|module_2--module_4,train
graph_0012,2,module_1--module_4|module_2--module_3,train
graph_0015,2,module_1--module_2|module_3--module_4,train
graph_0018,2,module_2--module_3|module_2--module_4,train
graph_0021,2,module_1--module_2|module_2--module_4,train
graph_0024,2,module_1--module_3|module_2--module_3,test
graph_0027,2,module_1--module_3|module_3--module_4,train
graph_0001,3,module_1--module_3|module_2--module_4|module_3--module_4,train
graph_0004,3,module_1--module_2|module_1--module_3|module_1--module_4,train
graph_0007,3,module_1--module_3|module_2--module_3|module_2--module_4,train
graph_0010,3,module_1--module_4|module_2--module_3|module_3--module_4,train
graph_0013,3,module_1--module_3|module_1--module_4|module_2--module_3,test
graph_0016,3,module_1--module_3|module_1--module_4|module_3--module_4,test
graph_0019,3,module_1--module_3|module_2--module_3|module_3--module_4,train
graph_0022,3,module_1--module_2|module_2--module_3|module_3--module_4,test
graph_0025,3,module_1--module_2|module_1--module_3|module_2--module_4,train
graph_0028,3,module_1--module_2|module_1--module_4|module_2--module_4,train
graph_0002,4,module_1--module_2|module_1--module_3|module_1--module_4|module_2--module_4,train
graph_0005,4,module_1--module_3|module_1--module_4|module_2--module_3|module_3--module_4,test
graph_0008,4,module_1--module_2|module_1--module_3|module_2--module_4|module_3--module_4,train
graph_0011,4,module_1--module_3|module_2--module_3|module_2--module_4|module_3--module_4,train
graph_0014,4,module_1--module_2|module_1--module_4|module_2--module_3|module_2--module_4,train
graph_0017,4,module_1--module_2|module_1--module_3|module_2--module_3|module_3--module_4,test
graph_0020,4,module_1--module_2|module_1--module_3|module_1--module_4|module_2--module_3,train
graph_0023,4,module_1--module_3|module_1--module_4|module_2--module_4|module_3--module_4,train
graph_0026,4,module_1--module_2|module_2--module_3|module_2--module_4|module_3--module_4,train
graph_0029,4,module_1--module_2|module_1--module_3|module_2--module_3|module_2--module_4,test
