step,op_name,qubits,modules_touched,is_cross_module,params
0,rz,0,module_0,False,[1.5707963267948966]
1,sx,0,module_0,False,[]
2,rz,0,module_0,False,[3.141592653589793]
3,rz,1,module_0,False,[1.5707963267948966]
4,sx,1,module_0,False,[]
5,rz,1,module_0,False,[3.141592653589793]
6,rz,2,module_0,False,[1.5707963267948966]
7,sx,2,module_0,False,[]
8,rz,2,module_0,False,[1.5707963267948966]
9,cx,"1,2",module_0,False,[]
10,rz,2,module_0,False,[-7.145231426991874]
11,cx,"1,2",module_0,False,[]
12,rz,3,module_1,False,[1.5707963267948966]
13,sx,3,module_1,False,[]
14,rz,3,module_1,False,[1.5707963267948966]
15,cx,"0,3","module_0,module_1",True,[]
16,rz,3,module_1,False,[-7.145231426991874]
17,cx,"0,3","module_0,module_1",True,[]
18,rz,4,module_1,False,[1.5707963267948966]
19,sx,4,module_1,False,[]
20,rz,4,module_1,False,[1.5707963267948966]
21,cx,"1,4","module_0,module_1",True,[]
22,rz,4,module_1,False,[-7.145231426991874]
23,cx,"1,4","module_0,module_1",True,[]
24,sx,1,module_0,False,[]
25,rz,1,module_0,False,[4.3395661864467305]
26,sx,1,module_0,False,[]
27,rz,1,module_0,False,[9.42477796076938]
28,cx,"2,4","module_0,module_1",True,[]
29,rz,4,module_1,False,[-7.145231426991874]
30,cx,"2,4","module_0,module_1",True,[]
31,rz,2,module_0,False,[1.5707963267948966]
32,sx,2,module_0,False,[]
33,rz,2,module_0,False,[4.3395661864467305]
34,sx,2,module_0,False,[]
35,rz,2,module_0,False,[7.853981633974483]
36,cx,"1,2",module_0,False,[]
37,rz,2,module_0,False,[-4.339457684301843]
38,cx,"1,2",module_0,False,[]
39,rz,4,module_1,False,[1.5707963267948966]
40,sx,4,module_1,False,[]
41,rz,4,module_1,False,[4.3395661864467305]
42,sx,4,module_1,False,[]
43,rz,4,module_1,False,[7.853981633974483]
44,cx,"1,4","module_0,module_1",True,[]
45,rz,4,module_1,False,[-4.339457684301843]
