step,op_name,qubits,modules_touched,is_cross_module,params
0,rz,0,module_0,False,[1.5707963267948966]
1,sx,0,module_0,False,[]
2,rz,0,module_0,False,[3.141592653589793]
3,rz,1,module_0,False,[1.5707963267948966]
4,sx,1,module_0,False,[]
5,rz,1,module_0,False,[3.141592653589793]
6,rz,2,module_0,False,[1.5707963267948966]
7,sx,2,module_0,False,[]
8,rz,2,module_0,False,[1.5707963267948966]
9,cx,"1,2",module_0,False,[]
10,rz,2,module_0,False,[1.289497721184762]
11,cx,"1,2",module_0,False,[]
12,rz,3,module_0,False,[1.5707963267948966]
13,sx,3,module_0,False,[]
14,rz,3,module_0,False,[1.5707963267948966]
15,cx,"0,3",module_0,False,[]
16,rz,3,module_0,False,[1.289497721184762]
17,cx,"0,3",module_0,False,[]
18,rz,4,module_1,False,[1.5707963267948966]
19,sx,4,module_1,False,[]
20,rz,4,module_1,False,[1.5707963267948966]
21,cx,"1,4","module_0,module_1",True,[]
22,rz,4,module_1,False,[1.289497721184762]
23,cx,"1,4","module_0,module_1",True,[]
24,sx,1,module_0,False,[]
25,rz,1,module_0,False,[-5.638471010362078]
26,sx,1,module_0,False,[]
27,rz,1,module_0,False,[9.42477796076938]
28,rz,5,module_1,False,[1.5707963267948966]
29,sx,5,module_1,False,[]
30,rz,5,module_1,False,[1.5707963267948966]
31,cx,"2,5","module_0,module_1",True,[]
32,rz,5,module_1,False,[1.289497721184762]
33,cx,"2,5","module_0,module_1",True,[]
34,rz,2,module_0,False,[1.5707963267948966]
35,sx,2,module_0,False,[]
36,rz,2,module_0,False,[-5.638471010362078]
37,sx,2,module_0,False,[]
38,rz,2,module_0,False,[7.853981633974483]
39,cx,"1,2",module_0,False,[]
40,rz,2,module_0,False,[2.496865149674049]
41,cx,"1,2",module_0,False,[]
42,rz,6,module_1,False,[1.5707963267948966]
43,sx,6,module_1,False,[]
44,rz,6,module_1,False,[1.5707963267948966]
45,cx,"3,6","module_0,module_1",True,[]
46,rz,6,module_1,False,[1.289497721184762]
