qaoa_label,num_qubits,qasm_file,qasm_path,circuit_depth_evaluator_only,circuit_size_evaluator_only,trace_event_count_evaluator_only,cross_module_operation_count_evaluator_only,cx_count_evaluator_only,rz_count_evaluator_only,sx_count_evaluator_only,x_count_evaluator_only,measure_count_evaluator_only,operation_counts_json_evaluator_only
qaoa_n5,5,qaoa_nativegates_ibm_qiskit_opt3_5.qasm,/home/hatchling/tmp_mamba/black_box_attack/qaoa_nativegates_ibm_qiskit_opt3_5.qasm,32,98,99,17,20,48,25,0,5,"{""barrier"": 1, ""cx"": 20, ""measure"": 5, ""rz"": 48, ""sx"": 25}"
qaoa_n6,6,qaoa_nativegates_ibm_qiskit_opt3_6.qasm,/home/hatchling/tmp_mamba/black_box_attack/qaoa_nativegates_ibm_qiskit_opt3_6.qasm,29,116,117,25,24,56,30,0,6,"{""barrier"": 1, ""cx"": 24, ""measure"": 6, ""rz"": 56, ""sx"": 30}"
qaoa_n7,7,qaoa_nativegates_ibm_qiskit_opt3_7.qasm,/home/hatchling/tmp_mamba/black_box_attack/qaoa_nativegates_ibm_qiskit_opt3_7.qasm,32,136,137,25,28,66,35,0,7,"{""barrier"": 1, ""cx"": 28, ""measure"": 7, ""rz"": 66, ""sx"": 35}"
qaoa_n8,8,qaoa_nativegates_ibm_qiskit_opt3_8.qasm,/home/hatchling/tmp_mamba/black_box_attack/qaoa_nativegates_ibm_qiskit_opt3_8.qasm,29,154,155,25,32,74,40,0,8,"{""barrier"": 1, ""cx"": 32, ""measure"": 8, ""rz"": 74, ""sx"": 40}"
qaoa_n9,9,qaoa_nativegates_ibm_qiskit_opt3_9.qasm,/home/hatchling/tmp_mamba/black_box_attack/qaoa_nativegates_ibm_qiskit_opt3_9.qasm,31,172,173,33,36,82,45,0,9,"{""barrier"": 1, ""cx"": 36, ""measure"": 9, ""rz"": 82, ""sx"": 45}"
qaoa_n10,10,qaoa_nativegates_ibm_qiskit_opt3_10.qasm,/home/hatchling/tmp_mamba/black_box_attack/qaoa_nativegates_ibm_qiskit_opt3_10.qasm,35,194,195,29,40,94,50,0,10,"{""barrier"": 1, ""cx"": 40, ""measure"": 10, ""rz"": 94, ""sx"": 50}"
qaoa_n11,11,qaoa_nativegates_ibm_qiskit_opt3_11.qasm,/home/hatchling/tmp_mamba/black_box_attack/qaoa_nativegates_ibm_qiskit_opt3_11.qasm,32,214,215,37,44,104,55,0,11,"{""barrier"": 1, ""cx"": 44, ""measure"": 11, ""rz"": 104, ""sx"": 55}"
qaoa_n12,12,qaoa_nativegates_ibm_qiskit_opt3_12.qasm,/home/hatchling/tmp_mamba/black_box_attack/qaoa_nativegates_ibm_qiskit_opt3_12.qasm,35,234,235,25,48,114,60,0,12,"{""barrier"": 1, ""cx"": 48, ""measure"": 12, ""rz"": 114, ""sx"": 60}"
qaoa_n13,13,qaoa_nativegates_ibm_qiskit_opt3_13.qasm,/home/hatchling/tmp_mamba/black_box_attack/qaoa_nativegates_ibm_qiskit_opt3_13.qasm,32,252,253,37,52,122,65,0,13,"{""barrier"": 1, ""cx"": 52, ""measure"": 13, ""rz"": 122, ""sx"": 65}"
qaoa_n14,14,qaoa_nativegates_ibm_qiskit_opt3_14.qasm,/home/hatchling/tmp_mamba/black_box_attack/qaoa_nativegates_ibm_qiskit_opt3_14.qasm,32,270,271,37,56,130,70,0,14,"{""barrier"": 1, ""cx"": 56, ""measure"": 14, ""rz"": 130, ""sx"": 70}"
qaoa_n15,15,qaoa_nativegates_ibm_qiskit_opt3_15.qasm,/home/hatchling/tmp_mamba/black_box_attack/qaoa_nativegates_ibm_qiskit_opt3_15.qasm,35,290,291,41,60,140,75,0,15,"{""barrier"": 1, ""cx"": 60, ""measure"": 15, ""rz"": 140, ""sx"": 75}"
