workload_name,trial_id,victim_phase_ns
sparse_periodic,0,480.71560829821397
sparse_periodic,1,630.4463403419877
sparse_periodic,2,184.0725379784687
sparse_periodic,3,317.15754733141074
sparse_periodic,4,371.10561707714817
sparse_periodic,5,485.8776153986558
sparse_periodic,6,546.1810346387633
sparse_periodic,7,609.4099524431582
sparse_periodic,8,672.1465561717492
sparse_periodic,9,270.3170724214532
dense_periodic,0,176.3217694043617
dense_periodic,1,441.1257097459797
dense_periodic,2,612.5992388755034
dense_periodic,3,488.3481337513038
dense_periodic,4,481.6688238878753
dense_periodic,5,372.037539820366
dense_periodic,6,314.28699693015824
dense_periodic,7,119.58153997500267
dense_periodic,8,556.2680291509504
dense_periodic,9,375.2739359332206
synchronization_bursty,0,594.1504913967401
synchronization_bursty,1,129.64180581814963
synchronization_bursty,2,417.21428942408545
synchronization_bursty,3,628.4650487727806
synchronization_bursty,4,367.0125364734358
synchronization_bursty,5,415.54157174050437
synchronization_bursty,6,235.0222309653707
synchronization_bursty,7,375.4908194870964
synchronization_bursty,8,266.77247324875657
synchronization_bursty,9,357.20102251331497
