trace_id,protocol_context,victim_instance_id,repeat_id,probe_index,release_ns,phase_index,phase_label,remote_active_label,phase_start_ns,phase_end_ns,distance_to_nearest_true_boundary_ns
0e571a112660b2397427,direct_coherent_all_shared,victim_0000,0,0,30.0,0,sparse_remote,1,0.0,2522.51865144427,2492.51865144427
0e571a112660b2397427,direct_coherent_all_shared,victim_0000,0,1,450.0,0,sparse_remote,1,0.0,2522.51865144427,2072.51865144427
0e571a112660b2397427,direct_coherent_all_shared,victim_0000,0,2,870.0,0,sparse_remote,1,0.0,2522.51865144427,1652.5186514442698
0e571a112660b2397427,direct_coherent_all_shared,victim_0000,0,3,1290.0,0,sparse_remote,1,0.0,2522.51865144427,1232.5186514442698
0e571a112660b2397427,direct_coherent_all_shared,victim_0000,0,4,1710.0,0,sparse_remote,1,0.0,2522.51865144427,812.5186514442698
0e571a112660b2397427,direct_coherent_all_shared,victim_0000,0,5,2130.0,0,sparse_remote,1,0.0,2522.51865144427,392.51865144426984
0e571a112660b2397427,direct_coherent_all_shared,victim_0000,0,6,2550.0,1,local_compute,0,2522.51865144427,6369.8343588148455,27.481348555730165
0e571a112660b2397427,direct_coherent_all_shared,victim_0000,0,7,2970.0,1,local_compute,0,2522.51865144427,6369.8343588148455,447.48134855573016
0e571a112660b2397427,direct_coherent_all_shared,victim_0000,0,8,3390.0,1,local_compute,0,2522.51865144427,6369.8343588148455,867.4813485557302
0e571a112660b2397427,direct_coherent_all_shared,victim_0000,0,9,3810.0,1,local_compute,0,2522.51865144427,6369.8343588148455,1287.4813485557302
0e571a112660b2397427,direct_coherent_all_shared,victim_0000,0,10,4230.0,1,local_compute,0,2522.51865144427,6369.8343588148455,1707.4813485557302
0e571a112660b2397427,direct_coherent_all_shared,victim_0000,0,11,4650.0,1,local_compute,0,2522.51865144427,6369.8343588148455,1719.8343588148455
0e571a112660b2397427,direct_coherent_all_shared,victim_0000,0,12,5070.0,1,local_compute,0,2522.51865144427,6369.8343588148455,1299.8343588148455
