victim_remote_event_id,victim_trace_step,op_name,qubits,source_module,target_modules,arrival_time_ns,service_start_time_ns,completion_time_ns,waiting_time_ns,turnaround_time_ns,service_time_ns
0,9,ccx,"1,2,9",module_0,module_2,45,45,155,0,110,110
1,10,ccx,"3,9,10",module_0,module_2,50,155,265,105,215,110
2,11,ccx,"4,10,5",module_1,module_2,55,265,375,210,320,110
3,12,ccx,"3,9,10",module_0,module_2,60,375,485,315,425,110
4,13,ccx,"1,2,9",module_0,module_2,65,485,595,420,530,110
5,17,ccx,"1,2,9",module_0,module_2,85,595,705,510,620,110
6,18,ccx,"3,9,10",module_0,module_2,90,705,815,615,725,110
7,19,ccx,"4,10,6",module_1,module_2,95,815,925,720,830,110
8,20,ccx,"3,9,10",module_0,module_2,100,925,1035,825,935,110
9,21,ccx,"1,2,9",module_0,module_2,105,1035,1145,930,1040,110
10,24,ccx,"1,2,9",module_0,module_2,120,1145,1255,1025,1135,110
11,25,ccx,"3,9,10",module_0,module_2,125,1255,1365,1130,1240,110
12,26,ccx,"4,10,7",module_1,module_2,130,1365,1475,1235,1345,110
13,27,ccx,"3,9,10",module_0,module_2,135,1475,1585,1340,1450,110
14,28,ccx,"1,2,9",module_0,module_2,140,1585,1695,1445,1555,110
15,31,ccx,"2,3,8",module_0,module_2,155,1695,1805,1540,1650,110
16,34,ccx,"5,6,9",module_1,module_2,170,1805,1915,1635,1745,110
17,35,ccx,"7,9,10",module_1,module_2,175,1915,2025,1740,1850,110
18,36,ccx,"8,10,0",module_0,module_2,180,2025,2135,1845,1955,110
19,37,ccx,"7,9,10",module_1,module_2,185,2135,2245,1950,2060,110
20,38,ccx,"5,6,9",module_1,module_2,190,2245,2355,2055,2165,110
21,41,ccx,"2,3,8",module_0,module_2,205,2355,2465,2150,2260,110
22,44,ccx,"1,2,9",module_0,module_2,220,2465,2575,2245,2355,110
23,45,ccx,"3,9,10",module_0,module_2,225,2575,2685,2350,2460,110
24,46,ccx,"4,10,7",module_1,module_2,230,2685,2795,2455,2565,110
25,47,ccx,"3,9,10",module_0,module_2,235,2795,2905,2560,2670,110
26,48,ccx,"1,2,9",module_0,module_2,240,2905,3015,2665,2775,110
27,51,ccx,"1,2,9",module_0,module_2,255,3015,3125,2760,2870,110
28,52,ccx,"3,9,10",module_0,module_2,260,3125,3235,2865,2975,110
29,53,ccx,"4,10,6",module_1,module_2,265,3235,3345,2970,3080,110
30,54,ccx,"3,9,10",module_0,module_2,270,3345,3455,3075,3185,110
31,55,ccx,"1,2,9",module_0,module_2,275,3455,3565,3180,3290,110
32,59,ccx,"1,2,9",module_0,module_2,295,3565,3675,3270,3380,110
33,60,ccx,"3,9,10",module_0,module_2,300,3675,3785,3375,3485,110
34,61,ccx,"4,10,5",module_1,module_2,305,3785,3895,3480,3590,110
35,62,ccx,"3,9,10",module_0,module_2,310,3895,4005,3585,3695,110
36,63,ccx,"1,2,9",module_0,module_2,315,4005,4115,3690,3800,110
37,75,ccx,"1,2,9",module_0,module_2,375,4115,4225,3740,3850,110
38,76,ccx,"3,9,10",module_0,module_2,380,4225,4335,3845,3955,110
39,77,ccx,"4,10,0",module_0,"module_1,module_2",385,4335,4455,3950,4070,120
40,78,ccx,"3,9,10",module_0,module_2,390,4455,4565,4065,4175,110
41,79,ccx,"1,2,9",module_0,module_2,395,4565,4675,4170,4280,110
