step,op_name,qubits,modules_touched,is_cross_module,params
0,rz,0,module_0,False,[1.5707963267948966]
1,sx,0,module_0,False,[]
2,rz,0,module_0,False,[3.141592653589793]
3,rz,1,module_0,False,[1.5707963267948966]
4,sx,1,module_0,False,[]
5,rz,1,module_0,False,[1.5707963267948966]
6,cx,"0,1",module_0,False,[]
7,rz,1,module_0,False,[1.289442989282985]
8,cx,"0,1",module_0,False,[]
9,rz,2,module_0,False,[1.5707963267948966]
10,sx,2,module_0,False,[]
11,rz,2,module_0,False,[3.141592653589793]
12,rz,3,module_0,False,[1.5707963267948966]
13,sx,3,module_0,False,[]
14,rz,3,module_0,False,[1.5707963267948966]
15,cx,"1,3",module_0,False,[]
16,rz,3,module_0,False,[1.289442989282985]
17,cx,"1,3",module_0,False,[]
18,rz,1,module_0,False,[1.5707963267948966]
19,sx,1,module_0,False,[]
20,rz,1,module_0,False,[13.2110965090601]
21,sx,1,module_0,False,[]
22,rz,1,module_0,False,[7.853981633974483]
23,rz,4,module_1,False,[1.5707963267948966]
24,sx,4,module_1,False,[]
25,rz,4,module_1,False,[1.5707963267948966]
26,cx,"3,4","module_0,module_1",True,[]
27,rz,4,module_1,False,[1.289442989282985]
28,cx,"3,4","module_0,module_1",True,[]
29,rz,3,module_0,False,[1.5707963267948966]
30,sx,3,module_0,False,[]
31,rz,3,module_0,False,[13.2110965090601]
32,sx,3,module_0,False,[]
33,rz,3,module_0,False,[7.853981633974483]
34,rz,5,module_1,False,[1.5707963267948966]
35,sx,5,module_1,False,[]
36,rz,5,module_1,False,[3.141592653589793]
37,rz,6,module_1,False,[1.5707963267948966]
38,sx,6,module_1,False,[]
39,rz,6,module_1,False,[1.5707963267948966]
40,cx,"0,6","module_0,module_1",True,[]
41,rz,6,module_1,False,[1.289442989282985]
42,cx,"0,6","module_0,module_1",True,[]
43,sx,0,module_0,False,[]
44,rz,0,module_0,False,[13.2110965090601]
45,sx,0,module_0,False,[]
46,rz,0,module_0,False,[9.42477796076938]
