step,op_name,qubits,modules_touched,is_cross_module,params
0,rz,0,module_0,False,[1.5707963267948966]
1,sx,0,module_0,False,[]
2,rz,0,module_0,False,[3.141592653589793]
3,rz,1,module_0,False,[1.5707963267948966]
4,sx,1,module_0,False,[]
5,rz,1,module_0,False,[3.141592653589793]
6,rz,2,module_0,False,[1.5707963267948966]
7,sx,2,module_0,False,[]
8,rz,2,module_0,False,[3.141592653589793]
9,rz,3,module_0,False,[1.5707963267948966]
10,sx,3,module_0,False,[]
11,rz,3,module_0,False,[1.5707963267948966]
12,cx,"2,3",module_0,False,[]
13,rz,3,module_0,False,[-8.010497519254159]
14,cx,"2,3",module_0,False,[]
15,rz,4,module_0,False,[1.5707963267948966]
16,sx,4,module_0,False,[]
17,rz,4,module_0,False,[3.141592653589793]
18,rz,5,module_1,False,[1.5707963267948966]
19,sx,5,module_1,False,[]
20,rz,5,module_1,False,[1.5707963267948966]
21,cx,"4,5","module_0,module_1",True,[]
22,rz,5,module_1,False,[-8.010497519254159]
23,cx,"4,5","module_0,module_1",True,[]
24,rz,6,module_1,False,[1.5707963267948966]
25,sx,6,module_1,False,[]
26,rz,6,module_1,False,[1.5707963267948966]
27,cx,"5,6",module_1,False,[]
28,rz,6,module_1,False,[-8.010497519254159]
29,cx,"5,6",module_1,False,[]
30,rz,5,module_1,False,[1.5707963267948966]
31,sx,5,module_1,False,[]
32,rz,5,module_1,False,[-8.71771710855091]
33,sx,5,module_1,False,[]
34,rz,5,module_1,False,[7.853981633974483]
35,rz,7,module_1,False,[1.5707963267948966]
36,sx,7,module_1,False,[]
37,rz,7,module_1,False,[1.5707963267948966]
38,cx,"4,7","module_0,module_1",True,[]
39,rz,7,module_1,False,[-8.010497519254159]
40,cx,"4,7","module_0,module_1",True,[]
41,sx,4,module_0,False,[]
42,rz,4,module_0,False,[-8.71771710855091]
43,sx,4,module_0,False,[]
44,rz,4,module_0,False,[9.42477796076938]
45,cx,"4,5","module_0,module_1",True,[]
46,rz,5,module_1,False,[-0.7071455179907776]
