run_type,victim_remote_event_id,victim_trace_step,op_name,qubits,source_module,target_modules,arrival_time_ns,service_start_time_ns,completion_time_ns,waiting_time_ns,turnaround_time_ns,service_time_ns
victim_present,0,9,ccx,"1,2,9",module_0,module_2,20305,20305,20415,0,110,110
victim_present,1,10,ccx,"3,9,10",module_0,module_2,20310,20415,20525,105,215,110
victim_present,2,11,ccx,"4,10,5",module_1,module_2,20315,20525,20635,210,320,110
victim_present,3,12,ccx,"3,9,10",module_0,module_2,20320,20635,20745,315,425,110
victim_present,4,13,ccx,"1,2,9",module_0,module_2,20325,20745,20855,420,530,110
victim_present,5,17,ccx,"1,2,9",module_0,module_2,20345,20855,20965,510,620,110
victim_present,6,18,ccx,"3,9,10",module_0,module_2,20350,20965,21075,615,725,110
victim_present,7,19,ccx,"4,10,6",module_1,module_2,20355,21075,21185,720,830,110
victim_present,8,20,ccx,"3,9,10",module_0,module_2,20360,21185,21295,825,935,110
victim_present,9,21,ccx,"1,2,9",module_0,module_2,20365,21295,21405,930,1040,110
victim_present,10,24,ccx,"1,2,9",module_0,module_2,20380,21405,21515,1025,1135,110
victim_present,11,25,ccx,"3,9,10",module_0,module_2,20385,21515,21625,1130,1240,110
victim_present,12,26,ccx,"4,10,7",module_1,module_2,20390,21625,21735,1235,1345,110
victim_present,13,27,ccx,"3,9,10",module_0,module_2,20395,21735,21845,1340,1450,110
victim_present,14,28,ccx,"1,2,9",module_0,module_2,20400,21845,21955,1445,1555,110
victim_present,15,31,ccx,"2,3,8",module_0,module_2,20415,21955,22065,1540,1650,110
victim_present,16,34,ccx,"5,6,9",module_1,module_2,20430,22065,22175,1635,1745,110
victim_present,17,35,ccx,"7,9,10",module_1,module_2,20435,22175,22285,1740,1850,110
victim_present,18,36,ccx,"8,10,0",module_0,module_2,20440,22285,22395,1845,1955,110
victim_present,19,37,ccx,"7,9,10",module_1,module_2,20445,22395,22505,1950,2060,110
victim_present,20,38,ccx,"5,6,9",module_1,module_2,20450,22505,22615,2055,2165,110
victim_present,21,41,ccx,"2,3,8",module_0,module_2,20465,22725,22835,2260,2370,110
victim_present,22,44,ccx,"1,2,9",module_0,module_2,20480,22835,22945,2355,2465,110
victim_present,23,45,ccx,"3,9,10",module_0,module_2,20485,22945,23055,2460,2570,110
victim_present,24,46,ccx,"4,10,7",module_1,module_2,20490,23055,23165,2565,2675,110
victim_present,25,47,ccx,"3,9,10",module_0,module_2,20495,23165,23275,2670,2780,110
victim_present,26,48,ccx,"1,2,9",module_0,module_2,20500,23275,23385,2775,2885,110
victim_present,27,51,ccx,"1,2,9",module_0,module_2,20515,23385,23495,2870,2980,110
victim_present,28,52,ccx,"3,9,10",module_0,module_2,20520,23495,23605,2975,3085,110
victim_present,29,53,ccx,"4,10,6",module_1,module_2,20525,23605,23715,3080,3190,110
victim_present,30,54,ccx,"3,9,10",module_0,module_2,20530,23715,23825,3185,3295,110
victim_present,31,55,ccx,"1,2,9",module_0,module_2,20535,23825,23935,3290,3400,110
victim_present,32,59,ccx,"1,2,9",module_0,module_2,20555,23935,24045,3380,3490,110
victim_present,33,60,ccx,"3,9,10",module_0,module_2,20560,24045,24155,3485,3595,110
victim_present,34,61,ccx,"4,10,5",module_1,module_2,20565,24155,24265,3590,3700,110
victim_present,35,62,ccx,"3,9,10",module_0,module_2,20570,24265,24375,3695,3805,110
victim_present,36,63,ccx,"1,2,9",module_0,module_2,20575,24375,24485,3800,3910,110
victim_present,37,75,ccx,"1,2,9",module_0,module_2,20635,24485,24595,3850,3960,110
victim_present,38,76,ccx,"3,9,10",module_0,module_2,20640,24595,24705,3955,4065,110
victim_present,39,77,ccx,"4,10,0",module_0,"module_1,module_2",20645,24705,24825,4060,4180,120
victim_present,40,78,ccx,"3,9,10",module_0,module_2,20650,24825,24935,4175,4285,110
victim_present,41,79,ccx,"1,2,9",module_0,module_2,20655,24935,25045,4280,4390,110
