trace_id,base_schedule_id,repeat_id,schedule_profile,link_success_probability,condition_id,task_name,evaluator_label,runtime_mode,post_pipeline,distillation_depth,retry_limit,uses_prefetch,victim_route_offset,victim_remote_operation_count,victim_success_fraction,actual_generation_attempt_count,actual_retry_count,victim_mean_request_slowdown,victim_makespan_slowdown
d764354acce908cf24c6,base_0000,0,sparse_periodic,0.65,protocol_direct,protocol_inference,direct_transfer,direct,direct,0,1,False,2,17,1.0,0,0,1.2039375040003495,1.0136222118220322
8d13baed5bc0aa513c53,base_0000,0,sparse_periodic,0.65,protocol_on_demand,protocol_inference,on_demand_epr,custom_epr,generic_epr,0,4,False,2,17,0.9411764705882353,25,9,1.103278914644047,1.0035885653840035
fd7ca1e6dfb1b8bbe194,base_0000,0,sparse_periodic,0.65,protocol_prefetch,protocol_inference,prefetched_epr,prefetch,generic_epr,0,4,True,2,17,1.0,61,15,1.2373478897530652,1.0142417194044833
a9916e5fd780da48a76d,base_0000,0,sparse_periodic,0.65,protocol_telegate,protocol_inference,telegate,prefetch,telegate,0,4,True,2,17,1.0,67,22,1.2372662909338334,1.000773705702103
ba9ba7d0fb3ed57fae98,base_0000,0,sparse_periodic,0.65,protocol_teledata,protocol_inference,teledata,prefetch,teledata,0,4,True,2,17,1.0,72,27,1.0702817029360503,1.0036659805475043
74d213ad37598d52bc15,base_0000,0,sparse_periodic,0.65,distill_0,distillation_depth_inference,distill_0,custom_epr,generic_epr,0,6,False,2,17,1.0,27,10,1.1047392801058995,1.0036334798269315
ee70ed3ba25d5d0010d6,base_0000,0,sparse_periodic,0.65,distill_1,distillation_depth_inference,distill_1,custom_epr,generic_epr,1,6,False,2,17,1.0,45,11,1.0708289747217121,1.00361650577274
c055247033ab4b77ce7e,base_0000,0,sparse_periodic,0.65,distill_2,distillation_depth_inference,distill_2,custom_epr,generic_epr,2,6,False,2,17,1.0,105,37,1.040573429821765,1.0034705879325307
b440a1bc8a8feb1397fd,base_0000,0,sparse_periodic,0.65,retry_1,retry_policy_inference,retry_1,custom_epr,generic_epr,0,1,False,2,17,0.5294117647058824,17,8,1.0797290888177056,1.0036795328172032
e0a2b124b11f661d2526,base_0000,0,sparse_periodic,0.65,retry_2,retry_policy_inference,retry_2,custom_epr,generic_epr,0,2,False,2,17,0.8823529411764706,23,8,1.1282492857338582,1.0036795328172032
4fb5d731e7cc7bb3fb88,base_0000,0,sparse_periodic,0.65,retry_4,retry_policy_inference,retry_4,custom_epr,generic_epr,0,4,False,2,17,1.0,29,12,1.057044168496299,1.0036334798269315
842f842383073d10b81c,base_0000,0,sparse_periodic,0.65,service_low_latency,service_class_inference,low_latency,custom_epr,generic_epr,0,4,False,2,17,1.0,27,10,1.121477350273972,1.0036334798269315
611878bd3bfe2cd64ff9,base_0000,0,sparse_periodic,0.65,service_high_fidelity,service_class_inference,high_fidelity,custom_epr,generic_epr,2,4,False,2,17,1.0,105,37,1.0476156438673148,1.0034705879325307
289d994debd36abfd866,base_0000,0,sparse_periodic,0.65,protocol_control_direct_transfer,protocol_label_only_control,direct_transfer,prefetch,generic_epr,0,4,True,2,17,1.0,67,20,1.3058836101812095,1.0036795328172032
dca5d6778b882552b885,base_0000,0,sparse_periodic,0.65,protocol_control_on_demand_epr,protocol_label_only_control,on_demand_epr,prefetch,generic_epr,0,4,True,2,17,1.0,67,20,1.3058836101812095,1.0036795328172032
443b1f505c07d5ee86a5,base_0000,0,sparse_periodic,0.65,protocol_control_prefetched_epr,protocol_label_only_control,prefetched_epr,prefetch,generic_epr,0,4,True,2,17,1.0,67,20,1.3058836101812095,1.0036795328172032
1f95079a7179671e7fb5,base_0000,0,sparse_periodic,0.65,protocol_control_telegate,protocol_label_only_control,telegate,prefetch,generic_epr,0,4,True,2,17,1.0,67,20,1.3058836101812095,1.0036795328172032
885a53eed3676a1a2736,base_0000,0,sparse_periodic,0.65,protocol_control_teledata,protocol_label_only_control,teledata,prefetch,generic_epr,0,4,True,2,17,1.0,67,20,1.3058836101812095,1.0036795328172032
d2eb39d9e17e2a8c8866,base_0000,0,sparse_periodic,0.65,service_control_low_latency,service_label_only_control,low_latency,custom_epr,generic_epr,1,4,False,2,17,0.9411764705882353,52,20,1.0638113323058789,1.003572007421892
