workload_name,trial_id,victim_phase_ns
sparse_periodic,0,105.1414694705989
sparse_periodic,1,93.20820409701255
sparse_periodic,2,598.407675580497
sparse_periodic,3,529.4972587101825
sparse_periodic,4,252.54700570699106
sparse_periodic,5,274.2362302315596
sparse_periodic,6,286.3190476517235
sparse_periodic,7,385.3863040376227
sparse_periodic,8,589.9605863907536
sparse_periodic,9,162.00572081851925
dense_periodic,0,570.5305583786053
dense_periodic,1,623.5784570443551
dense_periodic,2,630.7804216027727
dense_periodic,3,539.8779209129649
dense_periodic,4,173.88316252218218
dense_periodic,5,183.29763209394378
dense_periodic,6,383.31113153710186
dense_periodic,7,185.91750813634408
dense_periodic,8,662.6045282824058
dense_periodic,9,505.7249314165004
synchronization_bursty,0,651.0840192406844
synchronization_bursty,1,454.57984169895457
synchronization_bursty,2,667.5791570102307
synchronization_bursty,3,488.4647856086189
synchronization_bursty,4,106.14789605408092
synchronization_bursty,5,565.6045165539805
synchronization_bursty,6,101.44819265136753
synchronization_bursty,7,169.49147999644092
synchronization_bursty,8,438.8230772814717
synchronization_bursty,9,557.302369216957
