,qaoa_nativegates_ibm_qiskit_opt3_10.qasm,qaoa_nativegates_ibm_qiskit_opt3_11.qasm,qaoa_nativegates_ibm_qiskit_opt3_12.qasm,qaoa_nativegates_ibm_qiskit_opt3_13.qasm,qaoa_nativegates_ibm_qiskit_opt3_14.qasm,qaoa_nativegates_ibm_qiskit_opt3_15.qasm,qaoa_nativegates_ibm_qiskit_opt3_5.qasm,qaoa_nativegates_ibm_qiskit_opt3_6.qasm,qaoa_nativegates_ibm_qiskit_opt3_7.qasm,qaoa_nativegates_ibm_qiskit_opt3_8.qasm,qaoa_nativegates_ibm_qiskit_opt3_9.qasm
qaoa_nativegates_ibm_qiskit_opt3_10.qasm,0.0,5.1929503721407455,2.624190353341366,2.323692151748098,5.090800233671795,5.5132763205066215,3.8688921171373862,3.790602612810256,2.175310055786276,2.7569407813416626,5.270013810124179
qaoa_nativegates_ibm_qiskit_opt3_11.qasm,5.1929503721407455,0.0,5.640189794449324,4.999648333612024,2.0715730374355807,2.8563947561331315,8.350726993105202,4.554956522894496,6.692335577896848,4.148530110375788,1.7070636786762905
qaoa_nativegates_ibm_qiskit_opt3_12.qasm,2.624190353341366,5.640189794449324,0.0,3.9384520944389627,4.795945679416517,5.33541128058807,4.644300185594813,4.7330591394954835,3.945132045384626,3.0843623909678364,5.613728562408789
qaoa_nativegates_ibm_qiskit_opt3_13.qasm,2.323692151748098,4.999648333612024,3.9384520944389627,0.0,4.629365457042987,4.581059251303744,5.8220741636620135,5.354053547380073,4.029204685125358,4.4977714238173245,5.65096638913539
qaoa_nativegates_ibm_qiskit_opt3_14.qasm,5.090800233671795,2.0715730374355807,4.795945679416517,4.629365457042987,0.0,1.3429011049186217,8.394174703151965,5.4519458039665745,6.8712090684750695,4.5081187635656095,2.993161442855727
qaoa_nativegates_ibm_qiskit_opt3_15.qasm,5.5132763205066215,2.8563947561331315,5.33541128058807,4.581059251303744,1.3429011049186217,0.0,8.85235075979372,6.203227760918437,7.277196671155616,5.406198359213123,3.915942933612284
qaoa_nativegates_ibm_qiskit_opt3_5.qasm,3.8688921171373862,8.350726993105202,4.644300185594813,5.8220741636620135,8.394174703151965,8.85235075979372,0.0,4.879616074039523,2.122716663735434,4.696647864406381,7.8247267779697784
qaoa_nativegates_ibm_qiskit_opt3_6.qasm,3.790602612810256,4.554956522894496,4.7330591394954835,5.354053547380073,5.4519458039665745,6.203227760918437,4.879616074039523,0.0,3.694081487272406,1.9680550260873861,3.5863347836289035
qaoa_nativegates_ibm_qiskit_opt3_7.qasm,2.175310055786276,6.692335577896848,3.945132045384626,4.029204685125358,6.8712090684750695,7.277196671155616,2.122716663735434,3.694081487272406,0.0,3.532011162070511,6.35483454043494
qaoa_nativegates_ibm_qiskit_opt3_8.qasm,2.7569407813416626,4.148530110375788,3.0843623909678364,4.4977714238173245,4.5081187635656095,5.406198359213123,4.696647864406381,1.9680550260873861,3.532011162070511,0.0,3.5679567758937654
qaoa_nativegates_ibm_qiskit_opt3_9.qasm,5.270013810124179,1.7070636786762905,5.613728562408789,5.65096638913539,2.993161442855727,3.915942933612284,7.8247267779697784,3.5863347836289035,6.35483454043494,3.5679567758937654,0.0
