workload_name,trial_id,phase_ns,schedule_seed,attacker_logical_request_count,victim_logical_request_count,attacker_release_hash,victim_release_hash
sparse_periodic,0,118.78878304644073,2102776569,48,23,600ff12c6d1a6a26e02d1103ae3b620bdd5aeb3aaf9a2acffe05b4e83b8adfed,2a537b05ed60b71cba6396dabd3db19ba7bb662e7501080bc1de1873ebba48ae
sparse_periodic,1,307.88225031812914,3013044510,48,22,600ff12c6d1a6a26e02d1103ae3b620bdd5aeb3aaf9a2acffe05b4e83b8adfed,8a845f9b06475e898aca98f76a1198724629f6414915355c963a62e11f7b7b0d
sparse_periodic,2,115.66021812537178,3507834823,48,23,600ff12c6d1a6a26e02d1103ae3b620bdd5aeb3aaf9a2acffe05b4e83b8adfed,7131ce3561d6d12face451f3f2b8af8ea9c99b283c491bb9d474c5ddddb50f98
sparse_periodic,3,112.99404828911531,1261419444,48,23,600ff12c6d1a6a26e02d1103ae3b620bdd5aeb3aaf9a2acffe05b4e83b8adfed,6a9ea5bc959d0c14d963e470d20bfd5dd388e8e3b9d625cd7e48ab171a069345
sparse_periodic,4,332.9382748618915,2273347887,48,22,600ff12c6d1a6a26e02d1103ae3b620bdd5aeb3aaf9a2acffe05b4e83b8adfed,4b7e997a4713f59229e0db603bb20e3ca429f0798e20acc429bd03f6c603f208
sparse_periodic,5,175.95390525687228,1742617269,48,23,600ff12c6d1a6a26e02d1103ae3b620bdd5aeb3aaf9a2acffe05b4e83b8adfed,b8cfad9c0752bf4b321ee845e2bbd75f92fd6a0db58fc7fb91a0db52918135ad
sparse_periodic,6,215.32562039819194,1443561875,48,22,600ff12c6d1a6a26e02d1103ae3b620bdd5aeb3aaf9a2acffe05b4e83b8adfed,502ac2e0e65a5ce6123d5984417640dab8a5ec4ba9aaf4939918f8300de466be
sparse_periodic,7,152.4896039112282,2301313901,48,23,600ff12c6d1a6a26e02d1103ae3b620bdd5aeb3aaf9a2acffe05b4e83b8adfed,5dfdae02db6dd7f5665b74807b36cc8aa9e6c4c8fcf31b6b9f2fb9151c57ea1b
sparse_periodic,8,369.1254781594364,310533727,48,22,600ff12c6d1a6a26e02d1103ae3b620bdd5aeb3aaf9a2acffe05b4e83b8adfed,513d3ba508b6eb9dbbb3b4d03fbe84c7133a3ef3cf98efed174e21eee8a177d0
sparse_periodic,9,314.92419006340015,332776939,48,22,600ff12c6d1a6a26e02d1103ae3b620bdd5aeb3aaf9a2acffe05b4e83b8adfed,be57134e1ac785add64b80f0bb2f06212b2ad3e366fedb47f0ff31ffc64f4169
dense_periodic,0,80.39740913931207,871865819,48,43,600ff12c6d1a6a26e02d1103ae3b620bdd5aeb3aaf9a2acffe05b4e83b8adfed,8051976109eb49999ccba88a3954973eb38ad52f2b9727066a0d843c4a5dff37
dense_periodic,1,343.02215695307177,3830170665,48,42,600ff12c6d1a6a26e02d1103ae3b620bdd5aeb3aaf9a2acffe05b4e83b8adfed,a494b731b14125b4913f50cdca16efd1f60f48e300f2bbb0b214f2adf84b0299
dense_periodic,2,151.65642777274456,3698069166,48,43,600ff12c6d1a6a26e02d1103ae3b620bdd5aeb3aaf9a2acffe05b4e83b8adfed,dd932407cfbff987f86c06dbb618581f4a42185646108beab2d57f8eb1fe1cf0
dense_periodic,3,389.84006968374683,3455698463,48,42,600ff12c6d1a6a26e02d1103ae3b620bdd5aeb3aaf9a2acffe05b4e83b8adfed,06fb9f38c6ab7f4b724112d98d64e38e0611d2cc1bd67c1b6aa9067cda7656c5
dense_periodic,4,131.43015236858443,859828816,48,43,600ff12c6d1a6a26e02d1103ae3b620bdd5aeb3aaf9a2acffe05b4e83b8adfed,5ccc26a23383ea318b341b98d99ab2b7825b048edc3ca6284132c2be7f698678
dense_periodic,5,233.70201350677723,2401815668,48,43,600ff12c6d1a6a26e02d1103ae3b620bdd5aeb3aaf9a2acffe05b4e83b8adfed,27887f8f9f613ec7bba326fc182fc5d332af43bc3f29a9d8ad621cf8ab0dc03f
dense_periodic,6,324.1208665688937,3209489421,48,42,600ff12c6d1a6a26e02d1103ae3b620bdd5aeb3aaf9a2acffe05b4e83b8adfed,9d731637d2501f534dbfdb062657cf970a239823eb4fadd7f3609ad3903157ec
dense_periodic,7,323.5329840215382,2248998954,48,42,600ff12c6d1a6a26e02d1103ae3b620bdd5aeb3aaf9a2acffe05b4e83b8adfed,05fb4a60b171380e1669e547cbc54a31b1ebd1afb5573d38eb84909d4c673ac2
dense_periodic,8,368.1923124360225,4020294935,48,42,600ff12c6d1a6a26e02d1103ae3b620bdd5aeb3aaf9a2acffe05b4e83b8adfed,cc1b9fb254746d9bcecf0003ecb0ee9abca90b97bd30532a3bc06cff781cac38
dense_periodic,9,192.2298332293007,401789085,48,43,600ff12c6d1a6a26e02d1103ae3b620bdd5aeb3aaf9a2acffe05b4e83b8adfed,9b983310742c42f8997a0f1ce76265403b849aa9d717d0d85379d0100a62033e
synchronization_bursty,0,192.42420764041907,86007564,48,37,600ff12c6d1a6a26e02d1103ae3b620bdd5aeb3aaf9a2acffe05b4e83b8adfed,538b52a222770a28e4830cde09cda47c05a9d5607f3371342d8922c36602c4db
synchronization_bursty,1,110.46503486120767,615676681,48,38,600ff12c6d1a6a26e02d1103ae3b620bdd5aeb3aaf9a2acffe05b4e83b8adfed,ca8b78d44ed090fcc3cf9dec919096c7596d51dc1f7303f3dd45a28e8e827fa7
synchronization_bursty,2,323.00474492764226,368670776,48,36,600ff12c6d1a6a26e02d1103ae3b620bdd5aeb3aaf9a2acffe05b4e83b8adfed,37706a6b5f03c475ff70e8e0ab14dc382d292a46d60f6421b21e26ac3b37a89e
synchronization_bursty,3,107.08469985221916,1420814948,48,38,600ff12c6d1a6a26e02d1103ae3b620bdd5aeb3aaf9a2acffe05b4e83b8adfed,cd4dba553be151759486e6dfb75f8e4352c9f851b832b30ec7b28d33990fe5d5
synchronization_bursty,4,231.93651022725234,4142864018,48,36,600ff12c6d1a6a26e02d1103ae3b620bdd5aeb3aaf9a2acffe05b4e83b8adfed,eb9b84a930baa543bfbb460de75a4d2ec4b22e98452c8d2cbd05b7bc2c81e3c9
