workload_name,trial_id,victim_phase_ns
periodic_sparse,0,410.2982665984792
periodic_sparse,1,149.89372749016837
periodic_sparse,2,416.5735523239587
periodic_sparse,3,467.2648232176483
periodic_sparse,4,164.99023430697048
periodic_sparse,5,387.50630140386244
periodic_sparse,6,13.272405014425715
periodic_sparse,7,616.6173472045364
periodic_sparse,8,28.622372914304695
periodic_sparse,9,727.7099509052864
periodic_dense,0,237.30593136530732
periodic_dense,1,258.86845730764713
periodic_dense,2,149.60932072328467
periodic_dense,3,304.62334710691414
periodic_dense,4,297.26638905132387
periodic_dense,5,42.01695020481758
periodic_dense,6,194.60104649294587
periodic_dense,7,283.82406700605605
periodic_dense,8,12.888553199576592
periodic_dense,9,20.74329525688773
layered_bursty,0,933.804661120337
layered_bursty,1,760.9899716854736
layered_bursty,2,1803.8983125519687
layered_bursty,3,1786.9099285785258
layered_bursty,4,1992.3805698897404
layered_bursty,5,120.93131106253435
layered_bursty,6,1329.987771390386
layered_bursty,7,609.2804039423935
layered_bursty,8,2359.0441209513997
layered_bursty,9,2071.6047938383044
