victim_remote_event_id,victim_trace_step,op_name,qubits,source_module,target_modules,arrival_time_ns,service_start_time_ns,completion_time_ns,waiting_time_ns,turnaround_time_ns,service_time_ns
0,9,ccx,"1,2,9",module_0,module_2,1045,1140,1250,95,205,110
1,10,ccx,"3,9,10",module_0,module_2,1050,1250,1360,200,310,110
2,11,ccx,"4,10,5",module_1,module_2,1055,1360,1470,305,415,110
3,12,ccx,"3,9,10",module_0,module_2,1060,1470,1580,410,520,110
4,13,ccx,"1,2,9",module_0,module_2,1065,1580,1690,515,625,110
5,17,ccx,"1,2,9",module_0,module_2,1085,1690,1800,605,715,110
6,18,ccx,"3,9,10",module_0,module_2,1090,1800,1910,710,820,110
7,19,ccx,"4,10,6",module_1,module_2,1095,1910,2020,815,925,110
8,20,ccx,"3,9,10",module_0,module_2,1100,2020,2130,920,1030,110
9,21,ccx,"1,2,9",module_0,module_2,1105,2130,2240,1025,1135,110
10,24,ccx,"1,2,9",module_0,module_2,1120,2240,2350,1120,1230,110
11,25,ccx,"3,9,10",module_0,module_2,1125,2350,2460,1225,1335,110
12,26,ccx,"4,10,7",module_1,module_2,1130,2460,2570,1330,1440,110
13,27,ccx,"3,9,10",module_0,module_2,1135,2570,2680,1435,1545,110
14,28,ccx,"1,2,9",module_0,module_2,1140,2680,2790,1540,1650,110
15,31,ccx,"2,3,8",module_0,module_2,1155,2790,2900,1635,1745,110
16,34,ccx,"5,6,9",module_1,module_2,1170,2900,3010,1730,1840,110
17,35,ccx,"7,9,10",module_1,module_2,1175,3010,3120,1835,1945,110
18,36,ccx,"8,10,0",module_0,module_2,1180,3120,3230,1940,2050,110
19,37,ccx,"7,9,10",module_1,module_2,1185,3230,3340,2045,2155,110
20,38,ccx,"5,6,9",module_1,module_2,1190,3340,3450,2150,2260,110
21,41,ccx,"2,3,8",module_0,module_2,1205,3450,3560,2245,2355,110
22,44,ccx,"1,2,9",module_0,module_2,1220,3560,3670,2340,2450,110
23,45,ccx,"3,9,10",module_0,module_2,1225,3670,3780,2445,2555,110
24,46,ccx,"4,10,7",module_1,module_2,1230,3780,3890,2550,2660,110
25,47,ccx,"3,9,10",module_0,module_2,1235,3890,4000,2655,2765,110
26,48,ccx,"1,2,9",module_0,module_2,1240,4000,4110,2760,2870,110
27,51,ccx,"1,2,9",module_0,module_2,1255,4110,4220,2855,2965,110
28,52,ccx,"3,9,10",module_0,module_2,1260,4220,4330,2960,3070,110
29,53,ccx,"4,10,6",module_1,module_2,1265,4330,4440,3065,3175,110
30,54,ccx,"3,9,10",module_0,module_2,1270,4440,4550,3170,3280,110
31,55,ccx,"1,2,9",module_0,module_2,1275,4550,4660,3275,3385,110
32,59,ccx,"1,2,9",module_0,module_2,1295,4660,4770,3365,3475,110
33,60,ccx,"3,9,10",module_0,module_2,1300,4770,4880,3470,3580,110
34,61,ccx,"4,10,5",module_1,module_2,1305,4880,4990,3575,3685,110
35,62,ccx,"3,9,10",module_0,module_2,1310,4990,5100,3680,3790,110
36,63,ccx,"1,2,9",module_0,module_2,1315,5100,5210,3785,3895,110
37,75,ccx,"1,2,9",module_0,module_2,1375,5210,5320,3835,3945,110
38,76,ccx,"3,9,10",module_0,module_2,1380,5320,5430,3940,4050,110
39,77,ccx,"4,10,0",module_0,"module_1,module_2",1385,5430,5550,4045,4165,120
40,78,ccx,"3,9,10",module_0,module_2,1390,5550,5660,4160,4270,110
41,79,ccx,"1,2,9",module_0,module_2,1395,5660,5770,4265,4375,110
