step,op_name,qubits,modules_touched,is_cross_module,params
0,rz,0,module_0,False,[1.5707963267948966]
1,sx,0,module_0,False,[]
2,rz,0,module_0,False,[3.141592653589793]
3,rz,1,module_0,False,[1.5707963267948966]
4,sx,1,module_0,False,[]
5,rz,1,module_0,False,[3.141592653589793]
6,rz,2,module_0,False,[1.5707963267948966]
7,sx,2,module_0,False,[]
8,rz,2,module_0,False,[3.141592653589793]
9,rz,3,module_0,False,[1.5707963267948966]
10,sx,3,module_0,False,[]
11,rz,3,module_0,False,[1.5707963267948966]
12,cx,"0,3",module_0,False,[]
13,rz,3,module_0,False,[0.6558769968740723]
14,cx,"0,3",module_0,False,[]
15,rz,4,module_0,False,[1.5707963267948966]
16,sx,4,module_0,False,[]
17,rz,4,module_0,False,[3.141592653589793]
18,rz,5,module_1,False,[1.5707963267948966]
19,sx,5,module_1,False,[]
20,rz,5,module_1,False,[1.5707963267948966]
21,cx,"1,5","module_0,module_1",True,[]
22,rz,5,module_1,False,[0.6558769968740723]
23,cx,"1,5","module_0,module_1",True,[]
24,rz,6,module_1,False,[1.5707963267948966]
25,sx,6,module_1,False,[]
26,rz,6,module_1,False,[3.141592653589793]
27,rz,7,module_1,False,[1.5707963267948966]
28,sx,7,module_1,False,[]
29,rz,7,module_1,False,[1.5707963267948966]
30,cx,"5,7",module_1,False,[]
31,rz,7,module_1,False,[0.6558769968740723]
32,cx,"5,7",module_1,False,[]
33,rz,5,module_1,False,[1.5707963267948966]
34,sx,5,module_1,False,[]
35,rz,5,module_1,False,[14.465146952313543]
36,sx,5,module_1,False,[]
37,rz,5,module_1,False,[7.853981633974483]
38,cx,"6,7",module_1,False,[]
39,rz,7,module_1,False,[0.6558769968740723]
40,cx,"6,7",module_1,False,[]
41,rz,7,module_1,False,[1.5707963267948966]
42,sx,7,module_1,False,[]
43,rz,7,module_1,False,[14.465146952313543]
44,sx,7,module_1,False,[]
45,rz,7,module_1,False,[7.853981633974483]
46,rz,8,module_1,False,[1.5707963267948966]
