step,op_name,qubits,modules_touched,is_cross_module,params
0,rz,0,module_0,False,[1.5707963267948966]
1,sx,0,module_0,False,[]
2,rz,0,module_0,False,[3.141592653589793]
3,rz,1,module_0,False,[1.5707963267948966]
4,sx,1,module_0,False,[]
5,rz,1,module_0,False,[1.5707963267948966]
6,cx,"0,1",module_0,False,[]
7,rz,1,module_0,False,[1.2105941867116878]
8,cx,"0,1",module_0,False,[]
9,rz,2,module_1,False,[1.5707963267948966]
10,sx,2,module_1,False,[]
11,rz,2,module_1,False,[1.5707963267948966]
12,cx,"0,2","module_0,module_1",True,[]
13,rz,2,module_1,False,[1.2105941867116878]
14,cx,"0,2","module_0,module_1",True,[]
15,sx,0,module_0,False,[]
16,rz,0,module_0,False,[9.923561744369383]
17,sx,0,module_0,False,[]
18,rz,0,module_0,False,[9.42477796076938]
19,rz,3,module_1,False,[1.5707963267948966]
20,sx,3,module_1,False,[]
21,rz,3,module_1,False,[1.5707963267948966]
22,cx,"1,3","module_0,module_1",True,[]
23,rz,3,module_1,False,[1.2105941867116878]
24,cx,"1,3","module_0,module_1",True,[]
25,rz,1,module_0,False,[1.5707963267948966]
26,sx,1,module_0,False,[]
27,rz,1,module_0,False,[9.923561744369383]
28,sx,1,module_0,False,[]
29,rz,1,module_0,False,[7.853981633974483]
30,cx,"0,1",module_0,False,[]
31,rz,1,module_0,False,[5.785632353280002]
32,cx,"0,1",module_0,False,[]
33,rz,4,module_2,False,[1.5707963267948966]
34,sx,4,module_2,False,[]
35,rz,4,module_2,False,[1.5707963267948966]
36,cx,"2,4","module_1,module_2",True,[]
37,rz,4,module_2,False,[1.2105941867116878]
38,cx,"2,4","module_1,module_2",True,[]
39,rz,2,module_1,False,[1.5707963267948966]
40,sx,2,module_1,False,[]
41,rz,2,module_1,False,[9.923561744369383]
42,sx,2,module_1,False,[]
43,rz,2,module_1,False,[7.853981633974483]
44,cx,"0,2","module_0,module_1",True,[]
45,rz,2,module_1,False,[5.785632353280002]
46,cx,"0,2","module_0,module_1",True,[]
47,sx,0,module_0,False,[]
48,rz,0,module_0,False,[14.495559389422718]
49,sx,0,module_0,False,[]
50,rz,0,module_0,False,[7.853981633974483]
51,cx,"3,4","module_1,module_2",True,[]
52,rz,4,module_2,False,[1.2105941867116878]
53,cx,"3,4","module_1,module_2",True,[]
54,rz,3,module_1,False,[1.5707963267948966]
55,sx,3,module_1,False,[]
56,rz,3,module_1,False,[9.923561744369383]
57,sx,3,module_1,False,[]
58,rz,3,module_1,False,[7.853981633974483]
59,cx,"1,3","module_0,module_1",True,[]
60,rz,3,module_1,False,[5.785632353280002]
61,cx,"1,3","module_0,module_1",True,[]
62,rz,1,module_0,False,[1.5707963267948966]
63,sx,1,module_0,False,[]
64,rz,1,module_0,False,[14.495559389422718]
65,sx,1,module_0,False,[]
66,rz,1,module_0,False,[7.853981633974483]
67,rz,4,module_2,False,[1.5707963267948966]
68,sx,4,module_2,False,[]
69,rz,4,module_2,False,[9.923561744369383]
70,sx,4,module_2,False,[]
71,rz,4,module_2,False,[7.853981633974483]
72,cx,"2,4","module_1,module_2",True,[]
73,rz,4,module_2,False,[5.785632353280002]
74,cx,"2,4","module_1,module_2",True,[]
75,rz,2,module_1,False,[1.5707963267948966]
76,sx,2,module_1,False,[]
77,rz,2,module_1,False,[14.495559389422718]
78,sx,2,module_1,False,[]
79,rz,2,module_1,False,[7.853981633974483]
80,cx,"3,4","module_1,module_2",True,[]
81,rz,4,module_2,False,[5.785632353280002]
82,cx,"3,4","module_1,module_2",True,[]
83,rz,3,module_1,False,[1.5707963267948966]
84,sx,3,module_1,False,[]
85,rz,3,module_1,False,[14.495559389422718]
86,sx,3,module_1,False,[]
87,rz,3,module_1,False,[7.853981633974483]
88,rz,4,module_2,False,[1.5707963267948966]
89,sx,4,module_2,False,[]
90,rz,4,module_2,False,[14.495559389422718]
91,sx,4,module_2,False,[]
92,rz,4,module_2,False,[7.853981633974483]
93,barrier,"0,1,2,3,4","module_0,module_1,module_2",True,[]
94,measure,0,module_0,False,[]
95,measure,1,module_0,False,[]
96,measure,2,module_1,False,[]
97,measure,3,module_1,False,[]
98,measure,4,module_2,False,[]
