uncertainty_name,uncertainty_half_width_ns,trial_id,victim_start_offset_ns,attacker_start_error_ns,victim_true_start_ns
uncertainty_exact,0,0,0,0,20000
uncertainty_exact,0,1,0,0,20000
uncertainty_exact,0,2,0,0,20000
uncertainty_exact,0,3,0,0,20000
uncertainty_exact,0,4,0,0,20000
uncertainty_exact,0,5,0,0,20000
uncertainty_exact,0,6,0,0,20000
uncertainty_exact,0,7,0,0,20000
uncertainty_exact,0,8,0,0,20000
uncertainty_exact,0,9,0,0,20000
uncertainty_exact,0,10,0,0,20000
uncertainty_exact,0,11,0,0,20000
uncertainty_exact,0,12,0,0,20000
uncertainty_exact,0,13,0,0,20000
uncertainty_exact,0,14,0,0,20000
uncertainty_exact,0,15,0,0,20000
uncertainty_exact,0,16,0,0,20000
uncertainty_exact,0,17,0,0,20000
uncertainty_exact,0,18,0,0,20000
uncertainty_exact,0,19,0,0,20000
uncertainty_0p5us,500,0,-360,360,19640
uncertainty_0p5us,500,1,450,-450,20450
uncertainty_0p5us,500,2,-335,335,19665
uncertainty_0p5us,500,3,195,-195,20195
uncertainty_0p5us,500,4,260,-260,20260
uncertainty_0p5us,500,5,410,-410,20410
uncertainty_0p5us,500,6,-275,275,19725
uncertainty_0p5us,500,7,-215,215,19785
uncertainty_0p5us,500,8,-335,335,19665
uncertainty_0p5us,500,9,315,-315,20315
uncertainty_0p5us,500,10,90,-90,20090
uncertainty_0p5us,500,11,475,-475,20475
uncertainty_0p5us,500,12,30,-30,20030
uncertainty_0p5us,500,13,-235,235,19765
uncertainty_0p5us,500,14,-230,230,19770
uncertainty_0p5us,500,15,-320,320,19680
uncertainty_0p5us,500,16,0,0,20000
uncertainty_0p5us,500,17,-295,295,19705
uncertainty_0p5us,500,18,-335,335,19665
uncertainty_0p5us,500,19,275,-275,20275
uncertainty_1us,1000,0,400,-400,20400
uncertainty_1us,1000,1,-810,810,19190
uncertainty_1us,1000,2,-115,115,19885
uncertainty_1us,1000,3,530,-530,20530
uncertainty_1us,1000,4,550,-550,20550
uncertainty_1us,1000,5,-265,265,19735
uncertainty_1us,1000,6,-780,780,19220
uncertainty_1us,1000,7,305,-305,20305
uncertainty_1us,1000,8,-120,120,19880
uncertainty_1us,1000,9,5,-5,20005
uncertainty_1us,1000,10,60,-60,20060
uncertainty_1us,1000,11,-955,955,19045
uncertainty_1us,1000,12,-920,920,19080
uncertainty_1us,1000,13,-735,735,19265
uncertainty_1us,1000,14,135,-135,20135
uncertainty_1us,1000,15,665,-665,20665
uncertainty_1us,1000,16,-425,425,19575
uncertainty_1us,1000,17,-110,110,19890
uncertainty_1us,1000,18,-785,785,19215
uncertainty_1us,1000,19,270,-270,20270
uncertainty_2p5us,2500,0,260,-260,20260
uncertainty_2p5us,2500,1,1635,-1635,21635
uncertainty_2p5us,2500,2,-1020,1020,18980
uncertainty_2p5us,2500,3,625,-625,20625
uncertainty_2p5us,2500,4,-2350,2350,17650
uncertainty_2p5us,2500,5,680,-680,20680
uncertainty_2p5us,2500,6,845,-845,20845
uncertainty_2p5us,2500,7,1730,-1730,21730
uncertainty_2p5us,2500,8,-1425,1425,18575
uncertainty_2p5us,2500,9,2500,-2500,22500
uncertainty_2p5us,2500,10,-1185,1185,18815
uncertainty_2p5us,2500,11,-2255,2255,17745
uncertainty_2p5us,2500,12,-470,470,19530
uncertainty_2p5us,2500,13,-575,575,19425
uncertainty_2p5us,2500,14,780,-780,20780
uncertainty_2p5us,2500,15,-1815,1815,18185
uncertainty_2p5us,2500,16,-2085,2085,17915
uncertainty_2p5us,2500,17,-140,140,19860
uncertainty_2p5us,2500,18,-2465,2465,17535
uncertainty_2p5us,2500,19,170,-170,20170
uncertainty_5us,5000,0,-4875,4875,15125
uncertainty_5us,5000,1,-195,195,19805
uncertainty_5us,5000,2,-3850,3850,16150
uncertainty_5us,5000,3,2820,-2820,22820
uncertainty_5us,5000,4,-980,980,19020
uncertainty_5us,5000,5,-3560,3560,16440
uncertainty_5us,5000,6,2000,-2000,22000
uncertainty_5us,5000,7,-4560,4560,15440
uncertainty_5us,5000,8,-3580,3580,16420
uncertainty_5us,5000,9,4730,-4730,24730
uncertainty_5us,5000,10,-3850,3850,16150
uncertainty_5us,5000,11,480,-480,20480
uncertainty_5us,5000,12,-2630,2630,17370
uncertainty_5us,5000,13,2285,-2285,22285
uncertainty_5us,5000,14,2755,-2755,22755
uncertainty_5us,5000,15,-3575,3575,16425
uncertainty_5us,5000,16,-3495,3495,16505
uncertainty_5us,5000,17,2580,-2580,22580
uncertainty_5us,5000,18,-4665,4665,15335
uncertainty_5us,5000,19,1780,-1780,21780
uncertainty_10us,10000,0,-8415,8415,11585
uncertainty_10us,10000,1,8970,-8970,28970
uncertainty_10us,10000,2,-5630,5630,14370
uncertainty_10us,10000,3,-7040,7040,12960
uncertainty_10us,10000,4,-3795,3795,16205
uncertainty_10us,10000,5,4300,-4300,24300
uncertainty_10us,10000,6,8435,-8435,28435
uncertainty_10us,10000,7,-5130,5130,14870
uncertainty_10us,10000,8,160,-160,20160
uncertainty_10us,10000,9,-9505,9505,10495
uncertainty_10us,10000,10,4750,-4750,24750
uncertainty_10us,10000,11,-9215,9215,10785
uncertainty_10us,10000,12,-7950,7950,12050
uncertainty_10us,10000,13,-3350,3350,16650
uncertainty_10us,10000,14,420,-420,20420
uncertainty_10us,10000,15,-3235,3235,16765
uncertainty_10us,10000,16,7265,-7265,27265
uncertainty_10us,10000,17,-8835,8835,11165
uncertainty_10us,10000,18,705,-705,20705
uncertainty_10us,10000,19,4140,-4140,24140
