step,op_name,qubits,modules_touched,is_cross_module,params
0,rz,0,module_0,False,[1.5707963267948966]
1,sx,0,module_0,False,[]
2,rz,0,module_0,False,[3.141592653589793]
3,rz,1,module_0,False,[1.5707963267948966]
4,sx,1,module_0,False,[]
5,rz,1,module_0,False,[3.141592653589793]
6,rz,2,module_0,False,[1.5707963267948966]
7,sx,2,module_0,False,[]
8,rz,2,module_0,False,[3.141592653589793]
9,rz,3,module_1,False,[1.5707963267948966]
10,sx,3,module_1,False,[]
11,rz,3,module_1,False,[3.141592653589793]
12,rz,4,module_1,False,[1.5707963267948966]
13,sx,4,module_1,False,[]
14,rz,4,module_1,False,[1.5707963267948966]
15,cx,"0,4","module_0,module_1",True,[]
16,rz,4,module_1,False,[3.7973960738150385]
17,cx,"0,4","module_0,module_1",True,[]
18,rz,5,module_1,False,[1.5707963267948966]
19,sx,5,module_1,False,[]
20,rz,5,module_1,False,[1.5707963267948966]
21,cx,"1,5","module_0,module_1",True,[]
22,rz,5,module_1,False,[3.7973960738150385]
23,cx,"1,5","module_0,module_1",True,[]
24,cx,"3,5",module_1,False,[]
25,rz,5,module_1,False,[3.7973960738150385]
26,cx,"3,5",module_1,False,[]
27,rz,5,module_1,False,[1.5707963267948966]
28,sx,5,module_1,False,[]
29,rz,5,module_1,False,[5.040440875250181]
30,sx,5,module_1,False,[]
31,rz,5,module_1,False,[7.853981633974483]
32,rz,6,module_2,False,[1.5707963267948966]
33,sx,6,module_2,False,[]
34,rz,6,module_2,False,[1.5707963267948966]
35,cx,"2,6","module_0,module_2",True,[]
36,rz,6,module_2,False,[3.7973960738150385]
37,cx,"2,6","module_0,module_2",True,[]
38,cx,"4,6","module_1,module_2",True,[]
39,rz,6,module_2,False,[3.7973960738150385]
40,cx,"4,6","module_1,module_2",True,[]
41,rz,4,module_1,False,[1.5707963267948966]
42,sx,4,module_1,False,[]
43,rz,4,module_1,False,[5.040440875250181]
44,sx,4,module_1,False,[]
45,rz,4,module_1,False,[7.853981633974483]
